com,label_actual,,,,,,,,,,,,,,,,,,,,
"An affidavit has been filed by the MoE and Forest, in which in paragraph 10 following facts have been mentioned.",['Other'],,,,,,,,,,,,,,,,,,,,
"Air quality, winter inspections 2019-20 status till 31.10.2019 is extracted hereunder:",['Other'],,,,,,,,,,,,,,,,,,,,
AIR QUALITY WINTER INSPECTIONS' (2019-2020) STATUS - till 31.10.19,['Other'],,,,,,,,,,,,,,,,,,,,
Total complaints lodged: 1646,['Other'],,,,,,,,,,,,,,,,,,,,
Total inspections - 249,['Other'],,,,,,,,,,,,,,,,,,,,
Major Sources reported,['Other'],,,,,,,,,,,,,,,,,,,,
Major polluting activities defined in identified hotspot regions:,['Other'],,,,,,,,,,,,,,,,,,,,
Jahangirpuri,['Other'],,,,,,,,,,,,,,,,,,,,
• Open dumping of garbage & C&D,['Other'],,,,,,,,,,,,,,,,,,,,
• Traffic congestion,['Other'],,,,,,,,,,,,,,,,,,,,
Rohini,['Other'],,,,,,,,,,,,,,,,,,,,
• Road dust,['Other'],,,,,,,,,,,,,,,,,,,,
• Open dumping of garbage,['Other'],,,,,,,,,,,,,,,,,,,,
Bawana,['Other'],,,,,,,,,,,,,,,,,,,,
• C&D & Unpaved roads,['Other'],,,,,,,,,,,,,,,,,,,,
• Open dumping of garbage & road dust,['Other'],,,,,,,,,,,,,,,,,,,,
Ashok Vihar,['Other'],,,,,,,,,,,,,,,,,,,,
• Open dumping of garbage & C&D,['Other'],,,,,,,,,,,,,,,,,,,,
• Road dust,['Other'],,,,,,,,,,,,,,,,,,,,
Wazirpur,['Other'],,,,,,,,,,,,,,,,,,,,
• Open dumping of garbage,['Other'],,,,,,,,,,,,,,,,,,,,
• C&D,['Other'],,,,,,,,,,,,,,,,,,,,
Ashok Vihar,['Other'],,,,,,,,,,,,,,,,,,,,
• Traffic congestion,['Other'],,,,,,,,,,,,,,,,,,,,
• C&D,['Other'],,,,,,,,,,,,,,,,,,,,
• Open dumping of garbage & road dust,['Other'],,,,,,,,,,,,,,,,,,,,
Ashok Vihar,['Other'],,,,,,,,,,,,,,,,,,,,
• C&D,['Other'],,,,,,,,,,,,,,,,,,,,
Punjabi Bagh,['Other'],,,,,,,,,,,,,,,,,,,,
• C&D,['Other'],,,,,,,,,,,,,,,,,,,,
Mundka,['Other'],,,,,,,,,,,,,,,,,,,,
• Unpaved roads,['Other'],,,,,,,,,,,,,,,,,,,,
• C&D and industrial waste dumping,['Other'],,,,,,,,,,,,,,,,,,,,
Narela,['Other'],,,,,,,,,,,,,,,,,,,,
• Industrial waste - dumping & burning,['Other'],,,,,,,,,,,,,,,,,,,,
• Garbage - dumping & burning,['Other'],,,,,,,,,,,,,,,,,,,,
Okhla,['Other'],,,,,,,,,,,,,,,,,,,,
• Open dumping of garbage,['Other'],,,,,,,,,,,,,,,,,,,,
• Open dumping of industrial waste and C&D,['Other'],,,,,,,,,,,,,,,,,,,,
Dwarka,['Other'],,,,,,,,,,,,,,,,,,,,
• C&D,['Other'],,,,,,,,,,,,,,,,,,,,
• Unpaved road,['Other'],,,,,,,,,,,,,,,,,,,,
Mayapuri,['Other'],,,,,,,,,,,,,,,,,,,,
• Unpaved road,['Other'],,,,,,,,,,,,,,,,,,,,
• Road dust,['Other'],,,,,,,,,,,,,,,,,,,,
Sahibabad,['Other'],,,,,,,,,,,,,,,,,,,,
• Unpaved road,['Other'],,,,,,,,,,,,,,,,,,,,
• Road dust,['Other'],,,,,,,,,,,,,,,,,,,,
• Open waste dumping,['Other'],,,,,,,,,,,,,,,,,,,,
• C&D,['Other'],,,,,,,,,,,,,,,,,,,,
Udyog Vihar,['Other'],,,,,,,,,,,,,,,,,,,,
• Open dumping of garbage,['Other'],,,,,,,,,,,,,,,,,,,,
• Unpaved roads,['Other'],,,,,,,,,,,,,,,,,,,,
Faridabad,['Other'],,,,,,,,,,,,,,,,,,,,
• C&D,['Other'],,,,,,,,,,,,,,,,,,,,
• Open dumping of garbage,['Other'],,,,,,,,,,,,,,,,,,,,
• Unpaved roads,['Other'],,,,,,,,,,,,,,,,,,,,
• Open burning,['Other'],,,,,,,,,,,,,,,,,,,,
• Industrial waste dumping,['Other'],,,,,,,,,,,,,,,,,,,,
"As per the Air Quality Inspection Construction and demolition activities in Delhi/NCR region causing damage in NOIDA, Faridabad, Gurugram, Ghaziabad as well as instances of Delhi have also been mentioned.",['Other'],,,,,,,,,,,,,,,,,,,,
Construction and demolition,['Other'],,,,,,,,,,,,,,,,,,,,
There is open dumping of waste/garbage.,['Other'],,,,,,,,,,,,,,,,,,,,
Unpaved road/pit.,['Other'],,,,,,,,,,,,,,,,,,,,
Road dust.,['Other'],,,,,,,,,,,,,,,,,,,,
Garbage burning.,['Other'],,,,,,,,,,,,,,,,,,,,
Traffic congestion.,['Other'],,,,,,,,,,,,,,,,,,,,
"We direct that construction, demolition and activities be stopped forthwith as well as garbage burning.",['Observation_finding'],,,,,,,,,,,,,,,,,,,,
"In case, any person is found in construction and demolition activity and garbage burning in Delhi and NCR region, any person/she shall be penalized.",['Other'],,,,,,,,,,,,,,,,,,,,
"Any person is doing construction and demolition activity in violation of this order, shall be penalized with Rs. 1 Lac for such activity.",['Other'],,,,,,,,,,,,,,,,,,,,
"For garbage burning he/she shall be penalized with Rs. 5,000/- and besides liable for violation of the order passed by this Court to be dealt with in accordance with law.",['Fact'],,,,,,,,,,,,,,,,,,,,
"With respect to open dumping of waste and garbage, #Current Court# direct the Government of NCT of Delhi as well as the concerned Municipal Corporation to chalk out immediate plan and to ensure that waste and garbage to be removed to safe places forthwith and also to ensure that no open dumping takes place.",['Conclusion'],,,,,,,,,,,,,,,,,,,,
#Current Court# direct Zonal Deputy Commissioner to be responsible with other officers in this regard.,['Conclusion'],,,,,,,,,,,,,,,,,,,,
"Let road-maps be prepared so as to provide proper amenities in order to prevent open dumping of waste and garbage, and be placed before this Court within four weeks.",['Conclusion'],,,,,,,,,,,,,,,,,,,,
For taking care of the road dust let water sprinklers/dust suppressors be used on the roads.,['Conclusion'],,,,,,,,,,,,,,,,,,,,
An the IIT expert suggested about the appropriate water pressure for the sprinklers.,['Other'],,,,,,,,,,,,,,,,,,,,
At what pressure water should be sprinkled so as to reduce the pollution and dust so that it does not add to the pollution.,['Other'],,,,,,,,,,,,,,,,,,,,
Let the Corporations act on advice of the expert of the IIT.,['Conclusion'],,,,,,,,,,,,,,,,,,,,
"Such roads where traffic congestion is more, let traffic plan be also prepared in such a manner so that there is no extra burden on a particular road so that traffic congestion is taken care of.",['Conclusion'],,,,,,,,,,,,,,,,,,,,
It is for the concerned traffic authorities to take immediate steps in this regard.,['Other'],,,,,,,,,,,,,,,,,,,,
"Since #Current Court# are fixing the liability on the person responsible for inaction at the village level as well as three States in the NCR regions as well as Delhi, let the widest publicity by all means of publication i.e. Television, Media, newspapers, Radio be made.",['Conclusion'],,,,,,,,,,,,,,,,,,,,
In Gram Panchayats by beat of drums also and other modes to ensure that villagers are made aware of villagers responsibility and liability towards the other humans so that villagers do not involve in such acts.,['Other'],,,,,,,,,,,,,,,,,,,,
"Let the Gram Panchayat, police station, district and taluk levels by the concerned administration take steps in this regard.",['Conclusion'],,,,,,,,,,,,,,,,,,,,
Let the State Governments also take the requisite steps to extinguish the stubbles which are burning and for that let State Level High Level Committee meet forthwith and take appropriate decision and implement appropriate decision.,['Conclusion'],,,,,,,,,,,,,,,,,,,,
Steps taken be informed to Court on 06.11.2019 by the concerned Chief Secretaries of the three States and Government of NCT of Delhi.,['Other'],,,,,,,,,,,,,,,,,,,,
Let the concerned authorities of the EPCA meet forthwith and take a call in this regard with respect to industrial activities which are causing pollution how to control this regard.,['Conclusion'],,,,,,,,,,,,,,,,,,,,
#Current Court# also direct all pollution control Boards of three States and Government of NCT of Delhi that polluting industries/activities against norms are put to halt forthwith.,['Conclusion'],,,,,,,,,,,,,,,,,,,,
"#Current Court# was also submitted by M/s. Sanjiv Sen and Gopal Sankaranarayanan, learned senior Counsel that in certain States generators are also being used which increase pollution mainly due to cut off of the electricity supply.",['argument_respondant'],,,,,,,,,,,,,,,,,,,,
,['Other'],,,,,,,,,,,,,,,,,,,,
Generators in Delhi also add to pollution in Delhi as well as in NCR region.,['Other'],,,,,,,,,,,,,,,,,,,,
Let the State Governments Government of NCT of Delhi Delhi ensure that electricity is not cut so that generators are not used and let no generators be used till next date of hearing except in emergency/healthcare services.,['Conclusion'],,,,,,,,,,,,,,,,,,,,
"Let the State Governments, NCT of Delhi and also the #respondants# prepare a road map for preventing this kind of situation in future and be placed before Court, within three weeks.",['Conclusion'],,,,,,,,,,,,,,,,,,,,
Let the Action Taken Report be submitted within four weeks.,['Conclusion'],,,,,,,,,,,,,,,,,,,,
Directions/order to be effective unless otherwise ordered.,['Other'],,,,,,,,,,,,,,,,,,,,
List on 06.11.2019 at 3.30 P.,['Other'],,,,,,,,,,,,,,,,,,,,
M.,['Other'],,,,,,,,,,,,,,,,,,,,
"It was noted by Court that there is a blatant violation of Article 21 of the Constitution i.e., Right to Life by the serious kind of pollution which is being caused by various factors including stubble burning.",['rationale'],,,,,,,,,,,,,,,,,,,,
"The stubble burning in the month of October/November comprises approximately 40% of the pollution, but for the remaining period, stubble burning is not the cause of pollution in Delhi .",['Other'],,,,,,,,,,,,,,,,,,,,
It was noted by Court that various other factors which were responsible for causing pollution are as under:,['Other'],,,,,,,,,,,,,,,,,,,,
Construction and demolition activities.,['Other'],,,,,,,,,,,,,,,,,,,,
Open dumping of waste/garbage.,['Other'],,,,,,,,,,,,,,,,,,,,
Unpaved roads/pits.,['Other'],,,,,,,,,,,,,,,,,,,,
Road dust.,['Other'],,,,,,,,,,,,,,,,,,,,
Garbage burning.,['Other'],,,,,,,,,,,,,,,,,,,,
Traffic congestion.,['Other'],,,,,,,,,,,,,,,,,,,,
Various hot-spots in Delhi and NCR regions were identified as noted in the Action Taken Report.,['Other'],,,,,,,,,,,,,,,,,,,,
Court has noted the problem of farmers in stubble burning as short gap between two crops due to which agriculturists indulge in stubble burning.,['Observation_Findings'],,,,,,,,,,,,,,,,,,,,
#Current Court# have seen the satellite images of Punjab where stubble burning was more as compared to Haryana and Western Uttar Pradesh from the records of the previous years.,['Fact'],,,,,,,,,,,,,,,,,,,,
#Current Court# have observed that the entire machinery involved in the concerned administration has to be held responsible for such a tortious act.,['Observation_finding'],,,,,,,,,,,,,,,,,,,,
"Particularly, in view of the fact that this problem is not new and is continuing since long, and the authorities have not been able to find a solution, every year, hue and cry is raised.",['Other'],,,,,,,,,,,,,,,,,,,,
"The same reflects badly on the concerned administration, the concerned administration lethargy is writ large by not taking appropriate action timely and preparing a scheme for the concerned administration prevention.",['Other'],,,,,,,,,,,,,,,,,,,,
"In the circumstances, #Current Court# have issued directions to the Chief Secretaries of the States of Rajasthan, Haryana, Punjab, and NCT of DelhiDelhi.",['Fact'],,,,,,,,,,,,,,,,,,,,
Court Court has also issued directions to all the authorities including panchayats and concerned administrative authorities to ensure that stubble burning does not take place.,['Other'],,,,,,,,,,,,,,,,,,,,
Other directions were also issued to be taken care of by the Environmental Pollution (Prevention and Control) Authority (EPCA).,['Other'],,,,,,,,,,,,,,,,,,,,
"Considering the precarious situation, #Current Court# also restrained demolition and construction activities for the time being and directed the Municipal Authorities, Zonal Commissioners and Deputy Zonal Commissioners to take care of the precarious situation.",['Observation_finding'],,,,,,,,,,,,,,,,,,,,
Some learned Counsels have pointed out the fallacy of the odd-even scheme also as this was applied to the cars which are contributing to three percent of the pollution and also 28% caused by the vehicular pollution and then approximately 50% cars operate in Delhi even on those days having odd or even numbers.,['Other'],,,,,,,,,,,,,,,,,,,,
"Thus, it was pointed out that it was not the solution.",['Other'],,,,,,,,,,,,,,,,,,,,
#Current Court# have called for certain data in this regard also.,['Fact'],,,,,,,,,,,,,,,,,,,,
The matter was taken on 6.11.2019 by Court.,['Other'],,,,,,,,,,,,,,,,,,,,
#Current Court# have heard the Chief Secretaries and passed the following order:,['Fact'],,,,,,,,,,,,,,,,,,,,
Heard Sh. K.,['Other'],,,,,,,,,,,,,,,,,,,,
"K. Venugopal, learned Attorney General for #respondants#, Sh. Tushar Mehta, learned Solicitor General of #respondants#, Mr. A.N.S. Nadkarni, learned Additional Solicitor General, Mr. P.S. Narasimha, learned senior Counsel.",['Fact'],,,,,,,,,,,,,,,,,,,,
"We have also heard the Chief Secretaries to various States of Punjab, Haryana, Uttar Pradesh and Government of NCT of Delhi Delhi in extensive detail, who have appeared today pursuant to #Current Court##'s order dated 04.11.2019.",['Fact'],,,,,,,,,,,,,,,,,,,,
"#Current Court# have also heard Mr. Charanpal Singh Bagri, senior Counsel senior Counsel appearing for the farmers.",['Fact'],,,,,,,,,,,,,,,,,,,,
#Current Court# have heard Mr. Bhure Lal as well.,['Fact'],,,,,,,,,,,,,,,,,,,,
"We find that in advance, no serious groundwork was made by the concerned States where the stubble burning is taking place.",['Observation_finding'],,,,,,,,,,,,,,,,,,,,
Court passed an order on 29.01.2018.,['Other'],,,,,,,,,,,,,,,,,,,,
"The comments and recommendations made by the EPCA on the report of the Sub-Committee of the High Level Task Force on prevention of stubble burning in Punjab, Haryana and Western Uttar Pradesh was considered by Court.",['Other'],,,,,,,,,,,,,,,,,,,,
Court Court directed the High Level Task Force to adhere to the timelines decided upon by Court and to ensure full compliance by all concerned.,['Other'],,,,,,,,,,,,,,,,,,,,
Court Court also directed the #respondants# to give publicity to the Report of the High Level Task Force so that the people are aware of the action been taken.,['Fact'],,,,,,,,,,,,,,,,,,,,
Publicity can be given through print and electronic media as well.,['Other'],,,,,,,,,,,,,,,,,,,,
"Thus, in the pious hope that stubble burning and its impact on the environment shall be taken care of, Court Court disposed of the application.",['Other'],,,,,,,,,,,,,,,,,,,,
"The Report of the Sub-Committee of the High Level Task Force the High Level Task Force on stubble burning in Punjab, Haryana and Western Uttar Pradesh has been placed on record, in which a suggestion was made to offer Rs. 100/- per quintal as incentive and disincentive both.",['Other'],,,,,,,,,,,,,,,,,,,,
The Chief Secretary to the States of Punjab has placed on record the action plan for control of burning of the crop in the #respondants# dated 01.10.2019.,['Fact'],,,,,,,,,,,,,,,,,,,,
"However, the same does not contain the proposal to pay Rs. 100/-.",['Other'],,,,,,,,,,,,,,,,,,,,
"The steps taken by the #respondants#, pursuant to the order passed by Court on 04.11.2019 have been placed on record by the Chief Secretary, which #Current Court# take on record, in which a suggestion has been made to offer financial support in the form of operational cost of crop residue management equipment to play a positive role to achieve zero stubble burning.",['Fact'],,,,,,,,,,,,,,,,,,,,
It has been proposed that the amount of Rs. 100/- per quintal would come to Rs. 2000-2500/- per acre.,['Other'],,,,,,,,,,,,,,,,,,,,
It was also stated that there is a crop of approximately 24 quintals per acre.,['Other'],,,,,,,,,,,,,,,,,,,,
"Be that as there is a crop of approximately 24 quintals per acre may, #Current Court# direct, in the facts and circumstances of the case, to take care of the stubble, which has not been burnt by the small and marginal farmers in the States of Punjab, Haryana, and Western Uttar Pradesh and to provide Punjab, Haryana, and Western Uttar Pradesh financial support, quantified amount at Rs. 100/- per quintal of Non-Basmati Paddy, shall be given to the small and marginal farmers in the States of Punjab, Haryana, and Western Uttar Pradesh within seven days from today by the State Governments to those who have not burnt the stubble.",['Observation_finding'],,,,,,,,,,,,,,,,,,,,
"the Government of NCT of Delhi has provided the Scheme of Promotion of Agricultural Mechanization in the States of Punjab, Haryana, Uttar Pradesh and NCT of Delhi Delhi for the period of 2018-19 and 2019-20 with a total outlay of Rs. 1151.80 Crores for in-situ Crop Residue Management such as Super Straw Management System for Combine Harvesters, Happy Seeders, Hydraulically Reversible MB Plough, Paddy Straw Chopper, Mulcher, Rotary Slasher, Zero Till Seed Drill and Rotavators are promoted with 50% subsidy to the individual farmers and 80% subsidy for establishment of Custom Hiring Centres of these machines.",['Other'],,,,,,,,,,,,,,,,,,,,
"the Government of NCT of Delhi has disbursed the Government of NCT of Delhi 100% share of funds amounting to Rs. 269.38 Crores, Rs. 137.84 crores, Rs. 148.60 Crores and Rs. 28.51 Crores to the States of Punjab, Haryana, Uttar Pradesh and Central Agencies respectively.",['Other'],,,,,,,,,,,,,,,,,,,,
"It appears from the statements made by The Chief Secretary to the States of Punjab to the #respondants# and Mr. Charanpal Singh Bagri, learned senior Counsel appearing for the farmers that most of the farmers burning stubble are of the category of small and marginal farmers in the #respondants# and the Cooperative Societies give the machines on hire basis, which cannot be afforded by the small and marginal farmers in the States of Punjab, Haryana, and Western Uttar Pradesh.",['Fact'],,,,,,,,,,,,,,,,,,,,
"#Current Court# have been assured by the Chief Secretaries to the #respondants#, Haryana, Utter Pradesh that the #respondants#, Haryana, Utter Pradesh will be dedicating certain machines for the use of small and marginal farmers.",['Observation_finding'],,,,,,,,,,,,,,,,,,,,
Even operational expenses shall be borne by the State Governments for the time being till the methodology/policy is devised to provide proper facilities of machines dedicated to small and marginal farmers in each of various States.,['Other'],,,,,,,,,,,,,,,,,,,,
"Let roadmap be prepared for that purpose as it is this class of farmers who requires a support as it is by way of compulsion and short duration of time between two crops and two crops cannot afford the machines which are valuable, having high cost and there is so much small gap between two crops that two crops are forced to burn stubble in the circumstances.",['Conclusion'],,,,,,,,,,,,,,,,,,,,
"As projected by The Chief Secretary to the States of Punjab that the Government of NCT of Delhi is not able to provide financial support to these small and marginal farmers, cannot be accepted.",['Other'],,,,,,,,,,,,,,,,,,,,
Agriculture is the backbone of the economy of the Government of NCT of Delhi.,['Other'],,,,,,,,,,,,,,,,,,,,
Agriculture interest cannot be overlooked and self-created bankruptcy cannot rescue Its interest when the #respondants# has the obligation towards the agriculture.,['Fact'],,,,,,,,,,,,,,,,,,,,
the Government of NCT of Delhi is providing the money.,['Other'],,,,,,,,,,,,,,,,,,,,
the Government of NCT of Delhi has contributed to the Government of NCT of Delhi.,['Other'],,,,,,,,,,,,,,,,,,,,
"the Government of NCT of Delhi cannot ignore the interest of the small and marginal farmers in the States of Punjab, Haryana, and Western Uttar Pradesh.",['Other'],,,,,,,,,,,,,,,,,,,,
It is the bounden duty of the Central as well as the Government of NCT of Delhi to ensure the interest of these class of farmers is catered and these class of farmers have the facilities of farming and harvesting by modern machines.,['Observation_finding'],,,,,,,,,,,,,,,,,,,,
"It should not be prerogative of the chosen few, those who have the money, means and power to afford these luxuries.",['Other'],,,,,,,,,,,,,,,,,,,,
"It is absolutely necessary that poor farmers are equally provided with the modern facilities which are necessary to prevent such incidents of stubble burning and the State Governments self created bankruptcy or paucity of funds cannot be a guise, not to discharge the State Governments obligation, as laid by Court in ""Municipal Council, Ratlam v Vardhichand and Others"", reported in MANU/SC/0171/1980 : AIR 1980 SC 1622.",['Observation_finding'],,,,,,,,,,,,,,,,,,,,
#Current Court# have issued the directions to the States of Punjab in accordance with the spirit of the aforesaid decisions.,['Fact'],,,,,,,,,,,,,,,,,,,,
